unit_id,stage_index,stage_name,value,timestamp
1,1,S1_Incoming,98.4138,2026-01-01T00:00:00
1,2,S2_Clean,43.6935,2026-01-01T00:00:00
1,3,S3_Deposition,12.4316,2026-01-01T00:00:00
1,4,S4_Litho,49.827,2026-01-01T00:00:00
1,5,S5_Etch,43.2098,2026-01-01T00:00:00
1,6,S6_Implant,47.9734,2026-01-01T00:00:00
1,7,S7_Anneal,3.5364,2026-01-01T00:00:00
1,8,S8_Final_CD,40.5392,2026-01-01T00:00:00
2,1,S1_Incoming,100.4811,2026-01-01T00:01:00
2,2,S2_Clean,97.0136,2026-01-01T00:01:00
2,3,S3_Deposition,35.3448,2026-01-01T00:01:00
2,4,S4_Litho,55.1457,2026-01-01T00:01:00
2,5,S5_Etch,72.0006,2026-01-01T00:01:00
2,6,S6_Implant,73.8431,2026-01-01T00:01:00
2,7,S7_Anneal,30.7918,2026-01-01T00:01:00
2,8,S8_Final_CD,39.1825,2026-01-01T00:01:00
3,1,S1_Incoming,96.2073,2026-01-01T00:02:00
3,2,S2_Clean,99.7155,2026-01-01T00:02:00
3,3,S3_Deposition,94.9797,2026-01-01T00:02:00
3,4,S4_Litho,69.0719,2026-01-01T00:02:00
3,5,S5_Etch,75.9738,2026-01-01T00:02:00
3,6,S6_Implant,87.9904,2026-01-01T00:02:00
3,7,S7_Anneal,47.787,2026-01-01T00:02:00
3,8,S8_Final_CD,59.4993,2026-01-01T00:02:00
4,1,S1_Incoming,102.7915,2026-01-01T00:03:00
4,2,S2_Clean,99.168,2026-01-01T00:03:00
4,3,S3_Deposition,101.289,2026-01-01T00:03:00
4,4,S4_Litho,96.1895,2026-01-01T00:03:00
4,5,S5_Etch,80.8859,2026-01-01T00:03:00
4,6,S6_Implant,88.9054,2026-01-01T00:03:00
4,7,S7_Anneal,58.3973,2026-01-01T00:03:00
4,8,S8_Final_CD,69.9678,2026-01-01T00:03:00
5,1,S1_Incoming,101.2766,2026-01-01T00:04:00
5,2,S2_Clean,99.6774,2026-01-01T00:04:00
5,3,S3_Deposition,99.6356,2026-01-01T00:04:00
5,4,S4_Litho,99.007,2026-01-01T00:04:00
5,5,S5_Etch,96.4636,2026-01-01T00:04:00
5,6,S6_Implant,92.3341,2026-01-01T00:04:00
